transaction_id,customer_id,catagory,quantity,price_per_unit,total_spend,transaction_date,year,month,day
1042935,CUST_18,Patisserie,2,23,46.0,2022-09-11,2022,9,11
1043899,CUST_16,Patisserie,2,28,55.0,2024-09-02,2024,9,2
1044009,CUST_05,Milk Products,9,14,126.0,2024-01-07,2024,1,7
1044590,CUST_12,Electric household essentials,4,14,56.0,2024-05-07,2024,5,7
1045345,CUST_24,Electric household essentials,4,10,38.0,2023-12-18,2023,12,18
1046262,CUST_14,Milk Products,5,14,70.0,2022-11-19,2022,11,19
1046367,CUST_21,Computers and electric accessories,10,19,185.0,2022-06-21,2022,6,21
1047304,CUST_08,Beverages,1,11,11.0,2023-10-25,2023,10,25
1048755,CUST_05,Butchers,3,41,123.0,2024-10-06,2024,10,6
1050160,CUST_23,Milk Products,6,23,138.0,2023-11-06,2023,11,6
1051037,CUST_14,Patisserie,3,28,82.5,2023-06-14,2023,6,14
1051223,CUST_08,Patisserie,9,5,45.0,2023-10-25,2023,10,25
1051740,CUST_24,Milk Products,5,38,190.0,2024-12-14,2024,12,14
1053050,CUST_14,Food,1,14,14.0,2024-11-24,2024,11,24
1053131,CUST_24,Milk Products,7,8,56.0,2024-08-04,2024,8,4
1054983,CUST_15,Milk Products,7,16,108.5,2024-10-09,2024,10,9
1054994,CUST_11,Computers and electric accessories,10,14,140.0,2023-09-05,2023,9,5
1055174,CUST_12,Computers and electric accessories,2,25,49.0,2022-06-17,2022,6,17
1055966,CUST_08,Computers and electric accessories,5,11,55.0,2024-12-22,2024,12,22
1056184,CUST_16,Beverages,5,25,122.5,2024-11-30,2024,11,30
1056560,CUST_22,Furniture,6,13,75.0,2024-03-06,2024,3,6
1057845,CUST_18,Beverages,7,34,234.5,2024-04-03,2024,4,3
1058643,CUST_23,Food,2,10,19.0,2024-10-01,2024,10,1
1058677,CUST_22,Computers and electric accessories,8,25,196.0,2024-04-24,2024,4,24
1059221,CUST_17,Patisserie,2,28,55.0,2022-09-11,2022,9,11
1060478,CUST_06,Butchers,3,38,114.0,2024-05-29,2024,5,29
1060721,CUST_24,Milk Products,1,37,36.5,2022-07-12,2022,7,12
1061030,CUST_20,Computers and electric accessories,4,37,146.0,2024-07-14,2024,7,14
1061282,CUST_06,Furniture,2,28,55.0,2024-03-28,2024,3,28
1063113,CUST_14,Patisserie,1,20,20.0,2024-07-02,2024,7,2
1063182,CUST_01,Beverages,10,7,65.0,2022-05-02,2022,5,2
1065130,CUST_09,Butchers,3,41,123.0,2022-09-14,2022,9,14
1067274,CUST_02,Food,10,20,200.0,2022-05-21,2022,5,21
1068083,CUST_16,Milk Products,8,5,40.0,2023-10-11,2023,10,11
1068864,CUST_13,Computers and electric accessories,5,28,137.5,2023-02-16,2023,2,16
1069163,CUST_09,Butchers,2,41,82.0,2023-01-20,2023,1,20
1069238,CUST_23,Food,0,0,0.0,2022-08-13,2022,8,13
1069677,CUST_12,Beverages,8,29,232.0,2023-03-18,2023,3,18
1071181,CUST_20,Furniture,6,29,174.0,2023-04-16,2023,4,16
1071655,CUST_15,Furniture,8,13,100.0,2024-04-25,2024,4,25
1071762,CUST_19,Beverages,3,10,28.5,2024-10-31,2024,10,31
1072609,CUST_08,Patisserie,10,5,50.0,2023-01-31,2023,1,31
1073711,CUST_24,Furniture,6,7,39.0,2024-01-02,2024,1,2
1074265,CUST_17,Patisserie,7,7,45.5,2024-03-16,2024,3,16
1075229,CUST_03,Beverages,3,14,42.0,2023-09-08,2023,9,8
1075886,CUST_14,Furniture,4,8,32.0,2024-08-21,2024,8,21
1076536,CUST_23,Computers and electric accessories,7,16,108.5,2023-05-24,2023,5,24
1076574,CUST_16,Computers and electric accessories,8,11,88.0,2024-09-19,2024,9,19
1076822,CUST_13,Computers and electric accessories,2,28,55.0,2022-10-06,2022,10,6
1076981,CUST_06,Milk Products,3,20,60.0,2023-11-11,2023,11,11
1077412,CUST_07,Electric household essentials,3,17,51.0,2024-06-02,2024,6,2
1078382,CUST_15,Butchers,6,38,228.0,2022-07-08,2022,7,8
1078497,CUST_03,Furniture,9,40,355.5,2024-01-21,2024,1,21
1078672,CUST_16,Patisserie,8,40,316.0,2023-07-22,2023,7,22
1079752,CUST_07,Food,8,34,268.0,2023-11-08,2023,11,8
1082353,CUST_02,Patisserie,2,38,76.0,2023-01-05,2023,1,5
1083965,CUST_15,Patisserie,8,13,100.0,2024-04-11,2024,4,11
1084358,CUST_02,Milk Products,10,5,50.0,2022-01-23,2022,1,23
1085427,CUST_24,Patisserie,9,29,261.0,2024-10-21,2024,10,21
1085751,CUST_06,Computers and electric accessories,10,13,125.0,2024-08-27,2024,8,27
1086487,CUST_07,Beverages,1,28,27.5,2025-01-05,2025,1,5
1086949,CUST_03,Furniture,3,11,33.0,2023-12-07,2023,12,7
1087400,CUST_08,Food,2,29,58.0,2023-07-14,2023,7,14
1089119,CUST_05,Food,9,20,180.0,2024-08-18,2024,8,18
1089350,CUST_06,Computers and electric accessories,9,29,261.0,2025-01-03,2025,1,3
1091462,CUST_11,Beverages,2,28,55.0,2022-06-22,2022,6,22
1091806,CUST_23,Computers and electric accessories,7,17,119.0,2024-11-04,2024,11,4
1091915,CUST_01,Patisserie,4,37,146.0,2023-07-16,2023,7,16
1095198,CUST_25,Electric household essentials,2,32,64.0,2022-11-04,2022,11,4
1095513,CUST_03,Food,1,40,39.5,2022-08-04,2022,8,4
1095879,CUST_15,Beverages,10,7,65.0,2023-02-04,2023,2,4
1096134,CUST_06,Food,8,10,76.0,2022-06-11,2022,6,11
1096977,CUST_07,Food,9,23,207.0,2024-12-07,2024,12,7
1097532,CUST_02,Beverages,3,22,64.5,2022-03-01,2022,3,1
1099045,CUST_21,Patisserie,6,19,111.0,2022-09-12,2022,9,12
1101287,CUST_05,Furniture,2,20,40.0,2024-01-05,2024,1,5
1101297,CUST_15,Milk Products,2,14,28.0,2022-03-24,2022,3,24
1102033,CUST_01,Computers and electric accessories,10,23,230.0,2022-04-17,2022,4,17
1102128,CUST_22,Furniture,3,11,33.0,2024-05-01,2024,5,1
1102582,CUST_09,Food,5,23,115.0,2024-10-27,2024,10,27
1102675,CUST_20,Furniture,1,35,35.0,2024-11-02,2024,11,2
1102901,CUST_16,Patisserie,10,25,245.0,2022-03-17,2022,3,17
1105856,CUST_08,Furniture,2,40,79.0,2022-04-17,2022,4,17
1107138,CUST_16,Beverages,2,19,37.0,2023-07-08,2023,7,8
1107383,CUST_15,Milk Products,6,8,48.0,2022-03-24,2022,3,24
1107812,CUST_03,Butchers,5,34,167.5,2023-04-13,2023,4,13
1109670,CUST_24,Beverages,6,34,201.0,2023-08-12,2023,8,12
1110407,CUST_25,Butchers,7,40,276.5,2022-10-21,2022,10,21
1110932,CUST_24,Butchers,9,34,301.5,2024-04-07,2024,4,7
1112365,CUST_19,Food,10,40,395.0,2023-09-24,2023,9,24
1112486,CUST_01,Computers and electric accessories,5,38,190.0,2022-01-22,2022,1,22
1112566,CUST_22,Beverages,2,29,58.0,2022-07-19,2022,7,19
1113144,CUST_01,Electric household essentials,10,11,110.0,2022-05-03,2022,5,3
1113295,CUST_11,Milk Products,10,41,410.0,2022-08-23,2022,8,23
1116351,CUST_13,Computers and electric accessories,3,38,114.0,2024-08-26,2024,8,26
1117354,CUST_22,Beverages,4,7,26.0,2024-11-01,2024,11,1
1118794,CUST_06,Furniture,2,5,10.0,2024-02-05,2024,2,5
1118935,CUST_08,Butchers,7,16,108.5,2022-06-20,2022,6,20
1119796,CUST_07,Food,2,37,73.0,2022-12-05,2022,12,5
1121761,CUST_10,Butchers,7,40,276.5,2023-11-04,2023,11,4
1122145,CUST_06,Electric household essentials,5,13,62.5,2022-11-14,2022,11,14
1122490,CUST_06,Butchers,6,13,75.0,2023-11-30,2023,11,30
1123016,CUST_14,Computers and electric accessories,9,11,99.0,2022-07-21,2022,7,21
1123240,CUST_23,Patisserie,10,37,365.0,2022-06-29,2022,6,29
1123421,CUST_25,Milk Products,8,29,232.0,2022-02-08,2022,2,8
1124993,CUST_03,Patisserie,10,29,290.0,2023-06-09,2023,6,9
1125784,CUST_05,Furniture,9,14,126.0,2023-07-29,2023,7,29
1126177,CUST_05,Patisserie,9,14,126.0,2022-09-26,2022,9,26
1126918,CUST_06,Furniture,7,13,87.5,2022-10-23,2022,10,23
1127104,CUST_14,Electric household essentials,9,35,315.0,2023-09-23,2023,9,23
1127219,CUST_05,Electric household essentials,4,5,20.0,2022-09-20,2022,9,20
1127482,CUST_05,Furniture,7,25,171.5,2023-10-16,2023,10,16
1130015,CUST_23,Milk Products,0,0,0.0,2024-03-27,2024,3,27
1130823,CUST_13,Computers and electric accessories,10,17,170.0,2024-11-02,2024,11,2
1132097,CUST_24,Patisserie,9,20,180.0,2023-05-18,2023,5,18
1132339,CUST_01,Beverages,4,20,80.0,2023-07-12,2023,7,12
1132569,CUST_19,Computers and electric accessories,2,37,73.0,2023-06-28,2023,6,28
1133322,CUST_16,Beverages,10,5,50.0,2022-08-06,2022,8,6
1133577,CUST_06,Electric household essentials,6,10,57.0,2022-08-13,2022,8,13
1134117,CUST_18,Beverages,1,34,33.5,2024-12-30,2024,12,30
1134786,CUST_18,Electric household essentials,1,29,29.0,2023-09-21,2023,9,21
1135069,CUST_01,Computers and electric accessories,2,19,37.0,2024-12-15,2024,12,15
1135450,CUST_03,Food,8,34,268.0,2024-10-03,2024,10,3
1135523,CUST_04,Electric household essentials,6,34,201.0,2024-08-04,2024,8,4
1135577,CUST_20,Beverages,3,22,64.5,2023-08-28,2023,8,28
1135615,CUST_21,Beverages,8,7,52.0,2022-08-25,2022,8,25
1136214,CUST_25,Furniture,4,7,26.0,2023-08-06,2023,8,6
1136695,CUST_18,Food,8,10,76.0,2024-03-24,2024,3,24
1137120,CUST_06,Milk Products,1,32,32.0,2024-10-17,2024,10,17
1137542,CUST_21,Electric household essentials,1,11,11.0,2023-06-29,2023,6,29
1137690,CUST_22,Electric household essentials,9,38,342.0,2023-01-18,2023,1,18
1138768,CUST_12,Computers and electric accessories,8,25,196.0,2022-03-09,2022,3,9
1139198,CUST_01,Furniture,7,29,203.0,2022-11-04,2022,11,4
1140136,CUST_01,Electric household essentials,10,22,215.0,2022-06-04,2022,6,4
1140976,CUST_06,Computers and electric accessories,4,22,86.0,2024-05-01,2024,5,1
1141770,CUST_03,Beverages,9,34,301.5,2022-05-30,2022,5,30
1141808,CUST_23,Patisserie,2,16,31.0,2022-03-14,2022,3,14
1142481,CUST_02,Beverages,6,37,219.0,2023-02-07,2023,2,7
1143548,CUST_12,Furniture,4,35,140.0,2022-01-04,2022,1,4
1143957,CUST_06,Milk Products,7,38,266.0,2024-04-27,2024,4,27
1143989,CUST_02,Butchers,1,22,21.5,2022-08-30,2022,8,30
1144228,CUST_01,Electric household essentials,1,38,38.0,2024-11-19,2024,11,19
1147196,CUST_13,Food,5,34,167.5,2023-02-09,2023,2,9
1148392,CUST_14,Computers and electric accessories,5,20,100.0,2022-08-05,2022,8,5
1150006,CUST_01,Furniture,5,28,137.5,2024-10-03,2024,10,3
1151406,CUST_04,Butchers,9,32,288.0,2022-05-18,2022,5,18
1153259,CUST_21,Milk Products,7,28,192.5,2024-10-13,2024,10,13
1153704,CUST_10,Patisserie,1,23,23.0,2022-01-02,2022,1,2
1153995,CUST_03,Electric household essentials,0,0,0.0,2022-02-12,2022,2,12
1154680,CUST_25,Furniture,0,0,0.0,2022-12-18,2022,12,18
1155401,CUST_06,Milk Products,2,32,64.0,2024-12-07,2024,12,7
1155771,CUST_05,Butchers,3,38,114.0,2024-10-18,2024,10,18
1156192,CUST_07,Food,4,20,80.0,2024-02-17,2024,2,17
1156632,CUST_05,Food,2,26,52.0,2024-06-21,2024,6,21
1156896,CUST_03,Computers and electric accessories,5,38,190.0,2024-06-07,2024,6,7
1157052,CUST_24,Butchers,4,23,92.0,2022-11-02,2022,11,2
1157208,CUST_04,Butchers,5,41,205.0,2022-07-07,2022,7,7
1158381,CUST_24,Butchers,0,0,0.0,2022-12-26,2022,12,26
1158681,CUST_23,Food,8,34,268.0,2022-02-22,2022,2,22
1159099,CUST_11,Computers and electric accessories,5,29,145.0,2023-06-08,2023,6,8
1159514,CUST_21,Milk Products,4,14,56.0,2023-03-19,2023,3,19
1160375,CUST_14,Electric household essentials,10,11,110.0,2023-08-12,2023,8,12
1161003,CUST_17,Electric household essentials,4,38,152.0,2022-03-24,2022,3,24
1162568,CUST_15,Electric household essentials,10,22,215.0,2022-05-14,2022,5,14
1164094,CUST_09,Patisserie,3,11,33.0,2024-07-29,2024,7,29
1164425,CUST_05,Beverages,3,7,19.5,2023-09-25,2023,9,25
1164547,CUST_10,Computers and electric accessories,7,37,255.5,2023-12-09,2023,12,9
1165342,CUST_24,Patisserie,7,14,98.0,2023-02-01,2023,2,1
1166423,CUST_08,Beverages,1,29,29.0,2024-08-12,2024,8,12
1166621,CUST_23,Beverages,6,37,219.0,2022-04-30,2022,4,30
1168511,CUST_05,Food,2,20,40.0,2022-05-03,2022,5,3
1170545,CUST_19,Electric household essentials,4,16,62.0,2023-11-27,2023,11,27
1170854,CUST_03,Patisserie,7,19,129.5,2022-04-04,2022,4,4
1172555,CUST_08,Beverages,10,41,410.0,2023-04-01,2023,4,1
1172683,CUST_10,Food,8,22,172.0,2023-07-10,2023,7,10
1173263,CUST_13,Electric household essentials,7,16,108.5,2022-07-31,2022,7,31
1174385,CUST_18,Computers and electric accessories,1,32,32.0,2024-03-12,2024,3,12
1174715,CUST_17,Patisserie,1,38,38.0,2022-06-09,2022,6,9
1175007,CUST_01,Computers and electric accessories,6,34,201.0,2024-07-10,2024,7,10
1175373,CUST_13,Milk Products,3,40,118.5,2024-04-09,2024,4,9
1175726,CUST_01,Milk Products,2,20,40.0,2024-07-08,2024,7,8
1175914,CUST_13,Butchers,0,0,0.0,2023-05-19,2023,5,19
1176248,CUST_16,Beverages,6,10,57.0,2022-12-06,2022,12,6
1177239,CUST_21,Electric household essentials,9,22,193.5,2023-04-14,2023,4,14
1177301,CUST_09,Patisserie,6,34,201.0,2022-04-08,2022,4,8
1178538,CUST_22,Milk Products,8,13,100.0,2022-06-08,2022,6,8
1178688,CUST_17,Beverages,3,22,64.5,2023-10-15,2023,10,15
1179280,CUST_01,Food,9,8,72.0,2023-10-02,2023,10,2
1179909,CUST_22,Beverages,7,22,150.5,2023-05-21,2023,5,21
1181808,CUST_23,Furniture,4,14,56.0,2023-09-21,2023,9,21
1185443,CUST_23,Butchers,7,23,161.0,2023-11-16,2023,11,16
1185788,CUST_11,Milk Products,7,13,87.5,2023-09-07,2023,9,7
1186888,CUST_10,Patisserie,5,25,122.5,2022-02-15,2022,2,15
1187419,CUST_22,Butchers,5,34,167.5,2022-02-03,2022,2,3
1187836,CUST_01,Computers and electric accessories,0,0,0.0,2022-12-20,2022,12,20
1188415,CUST_18,Electric household essentials,5,5,25.0,2025-01-15,2025,1,15
1188617,CUST_04,Food,1,25,24.5,2024-02-19,2024,2,19
1188804,CUST_02,Computers and electric accessories,7,32,224.0,2024-01-27,2024,1,27
1188935,CUST_17,Electric household essentials,3,32,96.0,2024-03-30,2024,3,30
1189082,CUST_23,Beverages,1,8,8.0,2022-06-03,2022,6,3
1189571,CUST_08,Food,3,20,60.0,2023-11-06,2023,11,6
1189728,CUST_10,Food,4,31,122.0,2023-11-25,2023,11,25
1190407,CUST_05,Milk Products,9,20,180.0,2022-09-21,2022,9,21
1190422,CUST_03,Patisserie,3,22,64.5,2023-01-11,2023,1,11
1190560,CUST_16,Furniture,8,34,268.0,2023-01-31,2023,1,31
1190991,CUST_06,Butchers,10,22,215.0,2022-10-21,2022,10,21
1192429,CUST_01,Beverages,3,14,42.0,2024-06-20,2024,6,20
1193062,CUST_22,Furniture,5,34,167.5,2022-02-23,2022,2,23
1193688,CUST_16,Computers and electric accessories,8,5,40.0,2024-04-21,2024,4,21
1194790,CUST_07,Computers and electric accessories,4,25,98.0,2023-09-07,2023,9,7
1195231,CUST_24,Electric household essentials,8,5,40.0,2022-11-28,2022,11,28
1196570,CUST_22,Beverages,8,13,100.0,2024-02-09,2024,2,9
1197350,CUST_22,Butchers,1,34,33.5,2024-06-10,2024,6,10
1197801,CUST_14,Patisserie,3,29,87.0,2023-01-06,2023,1,6
1197864,CUST_09,Computers and electric accessories,6,31,183.0,2022-01-06,2022,1,6
1198181,CUST_25,Food,5,22,107.5,2024-04-28,2024,4,28
1198384,CUST_12,Furniture,1,26,26.0,2024-11-13,2024,11,13
1198866,CUST_11,Patisserie,8,26,208.0,2022-01-12,2022,1,12
1199362,CUST_23,Beverages,3,7,19.5,2022-09-26,2022,9,26
1199408,CUST_05,Butchers,6,11,66.0,2024-03-24,2024,3,24
1199916,CUST_21,Furniture,0,0,0.0,2022-06-25,2022,6,25
1201215,CUST_13,Computers and electric accessories,6,16,93.0,2022-10-03,2022,10,3
1201615,CUST_25,Patisserie,2,29,58.0,2022-08-06,2022,8,6
1201718,CUST_17,Food,6,17,102.0,2024-04-08,2024,4,8
1201757,CUST_14,Electric household essentials,9,13,112.5,2024-12-16,2024,12,16
1201977,CUST_08,Furniture,10,5,50.0,2023-04-27,2023,4,27
1202644,CUST_01,Food,5,41,205.0,2023-04-02,2023,4,2
1202968,CUST_11,Electric household essentials,8,14,112.0,2022-09-03,2022,9,3
1203139,CUST_11,Milk Products,7,37,255.5,2024-09-06,2024,9,6
1203184,CUST_03,Patisserie,5,16,77.5,2023-06-12,2023,6,12
1204007,CUST_11,Furniture,8,25,196.0,2022-10-11,2022,10,11
1205286,CUST_11,Patisserie,4,29,116.0,2022-11-02,2022,11,2
1205686,CUST_09,Computers and electric accessories,2,32,64.0,2022-03-12,2022,3,12
1205880,CUST_04,Furniture,2,11,22.0,2023-06-17,2023,6,17
1207317,CUST_21,Furniture,3,40,118.5,2024-09-13,2024,9,13
1207537,CUST_02,Butchers,9,8,72.0,2022-02-01,2022,2,1
1207822,CUST_03,Food,1,25,24.5,2023-05-26,2023,5,26
1207984,CUST_17,Food,6,29,174.0,2022-05-10,2022,5,10
1208593,CUST_21,Patisserie,0,0,0.0,2022-11-19,2022,11,19
1208768,CUST_24,Beverages,2,14,28.0,2023-02-28,2023,2,28
1209005,CUST_10,Beverages,5,8,40.0,2022-12-31,2022,12,31
1209021,CUST_18,Milk Products,6,11,66.0,2024-11-11,2024,11,11
1209495,CUST_24,Beverages,10,11,110.0,2023-01-29,2023,1,29
1209700,CUST_08,Beverages,9,40,355.5,2024-06-17,2024,6,17
1210437,CUST_15,Food,7,10,66.5,2023-05-26,2023,5,26
1211345,CUST_19,Furniture,7,10,66.5,2024-12-02,2024,12,2
1211734,CUST_18,Patisserie,2,13,25.0,2023-06-15,2023,6,15
1212058,CUST_07,Electric household essentials,1,22,21.5,2023-03-18,2023,3,18
1212399,CUST_05,Beverages,8,14,112.0,2024-01-17,2024,1,17
1212420,CUST_05,Patisserie,2,23,46.0,2022-06-21,2022,6,21
1213004,CUST_19,Food,2,22,43.0,2022-03-18,2022,3,18
1213835,CUST_02,Beverages,4,37,146.0,2022-07-06,2022,7,6
1217844,CUST_03,Computers and electric accessories,8,25,196.0,2022-04-30,2022,4,30
1219422,CUST_09,Furniture,6,20,120.0,2023-11-01,2023,11,1
1219590,CUST_25,Food,3,38,114.0,2024-01-16,2024,1,16
1219680,CUST_14,Electric household essentials,3,11,33.0,2024-09-04,2024,9,4
1220342,CUST_04,Patisserie,10,40,395.0,2024-04-03,2024,4,3
1220541,CUST_21,Food,0,0,0.0,2023-12-03,2023,12,3
1221709,CUST_12,Patisserie,4,16,62.0,2022-12-23,2022,12,23
1221943,CUST_12,Furniture,10,19,185.0,2024-10-02,2024,10,2
1222397,CUST_01,Electric household essentials,10,11,110.0,2023-03-23,2023,3,23
1222659,CUST_17,Beverages,5,32,160.0,2022-06-22,2022,6,22
1223061,CUST_17,Milk Products,10,35,350.0,2022-09-05,2022,9,5
1223079,CUST_06,Patisserie,4,28,110.0,2024-08-06,2024,8,6
1223128,CUST_13,Butchers,0,0,0.0,2023-10-24,2023,10,24
1223573,CUST_14,Computers and electric accessories,3,13,37.5,2024-04-06,2024,4,6
1224026,CUST_01,Food,10,7,65.0,2022-10-17,2022,10,17
1224321,CUST_05,Computers and electric accessories,1,13,12.5,2022-08-22,2022,8,22
1224414,CUST_15,Furniture,5,13,62.5,2022-01-23,2022,1,23
1226245,CUST_18,Food,0,0,0.0,2023-05-31,2023,5,31
1227978,CUST_03,Beverages,10,41,410.0,2024-01-17,2024,1,17
1228408,CUST_01,Patisserie,0,0,0.0,2023-12-19,2023,12,19
1229733,CUST_01,Food,6,8,48.0,2024-04-17,2024,4,17
1230120,CUST_22,Patisserie,4,26,104.0,2024-04-10,2024,4,10
1230793,CUST_10,Computers and electric accessories,4,14,56.0,2024-06-28,2024,6,28
1231391,CUST_07,Patisserie,3,16,46.5,2022-04-06,2022,4,6
1231953,CUST_13,Computers and electric accessories,8,17,136.0,2024-02-16,2024,2,16
1232531,CUST_12,Beverages,3,7,19.5,2024-05-27,2024,5,27
1234299,CUST_15,Butchers,10,32,320.0,2022-02-17,2022,2,17
1235721,CUST_20,Electric household essentials,3,28,82.5,2024-02-24,2024,2,24
1236974,CUST_01,Beverages,8,10,76.0,2023-04-21,2023,4,21
1237218,CUST_10,Electric household essentials,3,26,78.0,2022-11-21,2022,11,21
1238430,CUST_10,Milk Products,8,23,184.0,2024-05-16,2024,5,16
1238908,CUST_10,Beverages,7,22,150.5,2024-02-15,2024,2,15
1238927,CUST_01,Patisserie,1,14,14.0,2022-12-23,2022,12,23
1239531,CUST_08,Beverages,10,37,365.0,2023-02-18,2023,2,18
1243748,CUST_25,Computers and electric accessories,3,7,19.5,2023-05-23,2023,5,23
1243810,CUST_15,Furniture,8,20,160.0,2023-12-28,2023,12,28
1243903,CUST_21,Computers and electric accessories,8,14,112.0,2023-07-25,2023,7,25
1244212,CUST_24,Milk Products,6,20,120.0,2024-10-15,2024,10,15
1245067,CUST_21,Food,1,31,30.5,2023-08-15,2023,8,15
1245088,CUST_07,Beverages,6,29,174.0,2024-03-04,2024,3,4
1245154,CUST_13,Furniture,2,5,10.0,2024-12-09,2024,12,9
1245404,CUST_24,Furniture,7,25,171.5,2024-07-31,2024,7,31
1246620,CUST_22,Patisserie,6,20,120.0,2024-06-23,2024,6,23
1247741,CUST_01,Butchers,10,10,95.0,2024-08-18,2024,8,18
1248449,CUST_03,Beverages,8,35,280.0,2023-05-28,2023,5,28
1248451,CUST_06,Beverages,2,40,79.0,2024-11-26,2024,11,26
